STNAME,FIPS,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT
Alabama,71489,Autauga CountyBaldwin CountyBarbour CountyBibb CountyBlount CountyBullock CountyButler CountyCalhoun CountyChambers CountyCherokee CountyChilton CountyChoctaw CountyClarke CountyClay CountyCleburne CountyCoffee CountyColbert CountyConecuh CountyCoosa CountyCovington CountyCrenshaw CountyCullman CountyDale CountyDallas CountyDeKalb CountyElmore CountyEscambia CountyEtowah CountyFayette CountyFranklin CountyGeneva CountyGreene CountyHale CountyHenry CountyHouston CountyJackson CountyJefferson CountyLamar CountyLauderdale CountyLawrence CountyLee CountyLimestone CountyLowndes CountyMacon CountyMadison CountyMarengo CountyMarion CountyMarshall CountyMobile CountyMonroe CountyMontgomery CountyMorgan CountyPerry CountyPickens CountyPike CountyRandolph CountyRussell CountySt. Clair CountyShelby CountySumter CountyTalladega CountyTallapoosa CountyTuscaloosa CountyWalker CountyWashington CountyWilcox CountyWinston County,4822023,2338557,2483466,1659639,1714205,1569270,1640908,3210178,1611845,NoNoYesNoNoYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoYesNoNoNoNoNoNoNoYesYesNoNoNoNoNoNoNoNoNoYesYesNoYesNoNoNoNoYesNoYesNoNoNoNoNoNoYesNoNoNoNoNoYesNo,23.64%16.79%53.55%25.45%11.91%77.39%46.32%26.84%42.36%8.12%19.16%44.51%46.46%19.79%7.36%28.20%20.94%48.92%34.07%16.62%29.85%7.59%29.44%71.45%19.17%25.96%39.17%21.33%14.59%21.16%15.81%82.00%60.02%32.08%32.17%10.10%48.91%14.10%14.81%23.55%30.98%22.04%74.97%83.91%34.15%54.20%7.68%17.13%41.54%45.31%62.52%23.03%69.96%44.23%42.99%24.64%49.26%13.27%20.76%75.89%36.02%30.80%35.82%10.10%34.30%72.82%5.48%,1279805,18%10%47%22%2%70%44%21%39%5%10%43%44%15%4%17%16%46%31%13%24%1%20%70%2%21%32%16%12%4%10%80%58%28%26%3%43%11%10%12%23%13%73%81%25%51%4%2%35%41%56%12%68%41%37%20%42%9%12%74%32%27%30%6%24%72%1%,196032,2.57%4.58%5.09%2.04%8.60%7.62%1.20%3.47%1.85%1.42%7.75%0.66%1.15%3.19%2.16%6.37%2.31%1.70%2.06%1.61%1.78%4.39%5.83%0.86%14.07%2.69%2.04%3.61%1.43%15.40%3.49%1.01%1.04%2.48%3.21%2.65%3.93%1.34%2.40%2.01%3.62%5.75%1.00%1.56%4.69%2.00%2.32%12.80%2.55%1.06%3.50%7.84%1.17%1.82%2.36%2.99%4.64%2.21%5.96%1.01%2.15%2.61%3.20%2.15%1.17%0.73%2.70%
Alaska,62452,Aleutians East BoroughAleutians West Census AreaAnchorage MunicipalityBethel Census AreaBristol Bay BoroughDenali BoroughDillingham Census AreaFairbanks North Star BoroughHaines BoroughHoonah-Angoon Census AreaJuneau City and BoroughKenai Peninsula BoroughKetchikan Gateway BoroughKodiak Island BoroughLake and Peninsula BoroughMatanuska-Susitna BoroughNome Census AreaNorth Slope BoroughNorthwest Arctic BoroughPetersburg Census AreaPrince of Wales-Hyder Census AreaSitka City and BoroughSkagway MunicipalitySoutheast Fairbanks Census AreaValdez-Cordova Census AreaWade Hampton Census AreaWrangell City and BoroughYakutat City and BoroughYukon-Koyukuk Census Area,731449,381238,350211,261012,232418,244104,217104,461208,270241,YesYesNoYesYesNoYesNoNoYesNoNoNoNoYesNoYesYesYesNoYesNoNoNoNoYesNoYesYes,86.97%70.15%38.84%88.27%53.88%12.75%82.06%27.49%18.18%52.09%33.37%17.71%35.18%48.14%77.81%18.31%83.00%67.44%88.54%32.70%51.73%36.14%12.20%22.17%29.16%96.06%28.76%61.83%77.89%,27373,7%7%6%1%0%1%0%5%1%0%1%1%1%1%1%1%1%1%1%1%0%1%0%1%1%0%0%1%0%,44869,13.10%14.44%8.24%1.40%3.03%3.20%2.22%6.77%2.16%3.43%5.80%3.35%4.57%7.94%2.54%4.11%1.38%2.95%1.13%4.81%2.83%5.46%3.65%4.14%4.12%0.27%1.71%2.54%1.32%
Arizona,60208,Apache CountyCochise CountyCoconino CountyGila CountyGraham CountyGreenlee CountyLa Paz CountyMaricopa CountyMohave CountyNavajo CountyPima CountyPinal CountySanta Cruz CountyYavapai CountyYuma County,6553255,3258483,3294772,2744968,2777176,1847589,1891449,3739038,2814217,YesNoNoNoNoYesNoNoNoYesNoNoYesNoYes,80.46%42.50%44.73%35.40%47.84%52.31%39.03%42.10%21.29%56.75%45.67%41.75%84.08%18.48%65.71%,297985,1%5%1%1%2%1%1%6%1%1%4%5%1%1%3%,1976106,6.15%33.10%13.65%18.36%31.31%47.33%24.69%29.98%15.42%10.87%35.45%28.95%82.67%13.91%60.52%
Arkansas,380625,Arkansas CountyAshley CountyBaxter CountyBenton CountyBoone CountyBradley CountyCalhoun CountyCarroll CountyChicot CountyClark CountyClay CountyCleburne CountyCleveland CountyColumbia CountyConway CountyCraighead CountyCrawford CountyCrittenden CountyCross CountyDallas CountyDesha CountyDrew CountyFaulkner CountyFranklin CountyFulton CountyGarland CountyGrant CountyGreene CountyHempstead CountyHot Spring CountyHoward CountyIndependence CountyIzard CountyJackson CountyJefferson CountyJohnson CountyLafayette CountyLawrence CountyLee CountyLincoln CountyLittle River CountyLogan CountyLonoke CountyMadison CountyMarion CountyMiller CountyMississippi CountyMonroe CountyMontgomery CountyNevada CountyNewton CountyOuachita CountyPerry CountyPhillips CountyPike CountyPoinsett CountyPolk CountyPope CountyPrairie CountyPulaski CountyRandolph CountySt. Francis CountySaline CountyScott CountySearcy CountySebastian CountySevier CountySharp CountyStone CountyUnion CountyVan Buren CountyWashington CountyWhite CountyWoodruff CountyYell County,2949131,1448490,1500641,1166182,1193387,1070593,1110139,2180732,768399,NoNoNoNoNoNoNoNoYesNoNoNoNoNoNoNoNoYesNoNoYesNoNoNoNoNoNoNoNoNoNoNoNoNoYesNoNoNoYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoYesNoNoNoNoNoNoNoYesNoNoNoNoNoNoNoNoNoNoNoNoNo,29.57%32.21%4.49%24.34%5.38%42.69%27.04%17.74%60.61%30.03%3.55%4.75%15.07%40.49%17.98%21.07%13.92%55.17%26.42%46.53%53.66%32.79%18.18%6.97%3.99%16.66%6.57%5.16%43.78%16.65%33.62%10.77%5.51%22.05%59.32%17.78%40.59%3.54%58.92%34.87%26.68%8.31%12.48%8.75%4.88%29.67%39.98%44.83%7.55%36.26%5.34%44.09%6.89%64.92%12.20%11.84%10.82%13.92%14.67%45.43%4.43%58.32%12.21%15.13%5.76%27.91%40.43%5.45%4.34%38.46%6.10%26.87%10.96%30.85%24.16%,459739,25%26%0%2%0%27%22%1%55%24%0%0%12%36%11%14%1%51%23%42%49%28%11%1%0%8%3%1%30%11%21%2%1%17%55%2%38%1%55%30%20%2%6%0%0%24%34%41%1%31%0%40%2%63%3%8%0%3%13%35%1%52%6%1%0%7%5%1%0%33%0%3%4%27%2%,199693,2.99%5.18%1.87%15.86%2.23%13.92%3.13%14.11%5.05%4.29%1.59%2.32%1.79%2.43%3.82%4.58%6.50%2.28%1.60%2.57%4.60%2.68%3.97%2.58%1.08%5.13%2.44%2.50%12.30%3.00%10.21%6.07%1.62%2.70%1.79%12.99%1.85%1.04%2.23%3.50%3.13%2.53%3.62%5.31%2.16%2.85%3.81%1.93%3.77%3.23%1.50%1.73%2.58%1.48%6.70%2.60%6.16%7.41%0.93%6.02%1.68%4.29%4.10%7.03%1.92%12.72%32.14%1.79%1.48%3.55%2.79%16.10%3.95%1.44%19.40%
California,351364,Alameda CountyAlpine CountyAmador CountyButte CountyCalaveras CountyColusa CountyContra Costa CountyDel Norte CountyEl Dorado CountyFresno CountyGlenn CountyHumboldt CountyImperial CountyInyo CountyKern CountyKings CountyLake CountyLassen CountyLos Angeles CountyMadera CountyMarin CountyMariposa CountyMendocino CountyMerced CountyModoc CountyMono CountyMonterey CountyNapa CountyNevada CountyOrange CountyPlacer CountyPlumas CountyRiverside CountySacramento CountySan Benito CountySan Bernardino CountySan Diego CountySan Francisco CountySan Joaquin CountySan Luis Obispo CountySan Mateo CountySanta Barbara CountySanta Clara CountySanta Cruz CountyShasta CountySierra CountySiskiyou CountySolano CountySonoma CountyStanislaus CountySutter CountyTehama CountyTrinity CountyTulare CountyTuolumne CountyVentura CountyYolo CountyYuba County,38041430,18918564,19122866,14068768,13965058,7462360,7508982,14971342,23070088,YesNoNoNoNoYesYesNoNoYesNoNoYesNoYesYesNoNoYesYesNoNoNoYesNoNoYesNoNoYesNoNoYesYesYesYesYesYesYesNoYesYesYesNoNoNoNoYesNoYesYesNoNoYesNoYesYesNo,66.49%31.53%20.02%25.63%17.04%61.65%53.15%36.24%20.39%68.13%45.24%23.53%86.85%34.98%62.44%65.29%26.63%33.93%72.67%62.95%27.25%17.48%32.36%69.27%22.23%33.20%68.03%44.81%13.85%56.95%24.83%15.49%61.45%52.31%62.73%67.98%52.37%58.34%65.00%29.79%58.43%53.08%65.70%41.11%18.25%12.99%21.43%59.68%34.58%54.36%50.99%29.00%16.47%68.57%18.27%52.32%50.96%42.22%,2515716,13%0%2%2%1%1%10%4%1%6%1%1%4%1%6%8%2%9%9%4%3%1%1%4%1%1%4%2%0%2%2%1%7%11%1%10%6%6%8%2%3%2%3%1%1%0%1%15%2%3%2%1%0%2%2%2%3%4%,14537666,22.69%8.41%12.67%14.84%10.78%56.57%24.77%18.77%12.23%51.21%38.68%10.26%81.23%20.32%50.32%52.04%18.01%18.16%48.20%55.22%15.67%9.51%23.04%56.12%14.43%27.22%56.44%33.09%8.94%34.15%13.27%8.24%46.52%22.03%57.33%50.47%32.66%15.36%39.72%21.47%25.38%43.77%26.90%32.72%8.87%8.75%11.13%24.77%25.55%43.03%29.34%22.87%7.01%61.82%11.07%41.21%31.03%26.23%
Colorado,515983,Adams CountyAlamosa CountyArapahoe CountyArchuleta CountyBaca CountyBent CountyBoulder CountyBroomfield CountyChaffee CountyCheyenne CountyClear Creek CountyConejos CountyCostilla CountyCrowley CountyCuster CountyDelta CountyDenver CountyDolores CountyDouglas CountyEagle CountyElbert CountyEl Paso CountyFremont CountyGarfield CountyGilpin CountyGrand CountyGunnison CountyHinsdale CountyHuerfano CountyJackson CountyJefferson CountyKiowa CountyKit Carson CountyLake CountyLa Plata CountyLarimer CountyLas Animas CountyLincoln CountyLogan CountyMesa CountyMineral CountyMoffat CountyMontezuma CountyMontrose CountyMorgan CountyOtero CountyOuray CountyPark CountyPhillips CountyPitkin CountyProwers CountyPueblo CountyRio Blanco CountyRio Grande CountyRoutt CountySaguache CountySan Juan CountySan Miguel CountySedgwick CountySummit CountyTeller CountyWashington CountyWeld CountyYuma County,5187582,2603705,2583877,2295901,2276121,1802881,1805206,3608087,1579495,NoYesNoNoNoNoNoNoNoNoNoYesYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,47.28%50.04%36.97%21.91%12.58%40.67%21.03%21.92%14.20%13.71%8.83%56.76%67.84%42.57%8.19%17.53%47.26%10.28%15.30%33.01%9.49%28.74%19.88%31.36%10.45%10.61%11.87%7.65%38.92%13.72%20.78%7.69%22.70%42.37%20.22%15.94%46.91%21.35%22.77%17.44%4.94%17.23%25.86%22.98%39.21%44.15%7.48%8.85%21.48%12.77%38.08%46.49%15.98%46.45%9.34%43.26%16.38%12.32%17.00%17.01%9.79%11.77%32.64%22.67%,225390,3%2%11%0%1%7%1%1%2%0%1%1%1%9%1%1%10%0%1%1%1%7%4%1%1%1%0%0%1%0%1%0%2%1%1%1%2%5%4%1%0%0%0%1%3%1%0%1%1%1%1%2%1%1%0%1%0%1%0%1%1%1%1%0%,1088744,38.40%45.34%18.59%17.94%9.36%31.30%13.55%12.22%10.02%11.15%5.38%54.56%64.69%29.80%5.11%14.42%31.51%4.31%7.95%30.27%6.03%15.61%12.63%28.44%5.99%7.60%9.00%4.07%35.45%11.65%14.90%5.89%18.50%39.70%12.29%10.82%42.55%13.42%16.31%13.68%2.82%14.17%11.89%20.04%34.40%40.89%5.01%4.97%19.12%9.55%35.66%42.01%11.68%43.83%6.81%39.44%13.62%9.39%14.02%14.06%5.78%9.36%28.43%21.24%
Connecticut,72064,Fairfield CountyHartford CountyLitchfield CountyMiddlesex CountyNew Haven CountyNew London CountyTolland CountyWindham County,3590347,1749916,1840431,1438261,1504074,1227506,1295364,2522870,1067477,NoNoNoNoNoNoNoNo,34.71%35.02%9.27%14.34%33.49%22.42%12.93%15.26%,401496,12%15%2%5%14%6%3%3%,510645,17.80%16.17%4.91%5.21%15.93%9.18%4.61%10.14%
Delaware,30009,Kent CountyNew Castle CountySussex County,917092,444358,472734,319834,334518,287037,304977,592014,325078,NoNoNo,35.73%39.31%24.84%,202090,25%25%13%,78813,6.37%9.09%9.09%
District of Columbia,11001,District of Columbia,632323,299041,333282,135576,135747,111213,113114,224327,407996,Yes,64.52%,316482,50%,62726,9.92%
Florida,808550,Alachua CountyBaker CountyBay CountyBradford CountyBrevard CountyBroward CountyCalhoun CountyCharlotte CountyCitrus CountyClay CountyCollier CountyColumbia CountyDeSoto CountyDixie CountyDuval CountyEscambia CountyFlagler CountyFranklin CountyGadsden CountyGilchrist CountyGlades CountyGulf CountyHamilton CountyHardee CountyHendry CountyHernando CountyHighlands CountyHillsborough CountyHolmes CountyIndian River CountyJackson CountyJefferson CountyLafayette CountyLake CountyLee CountyLeon CountyLevy CountyLiberty CountyMadison CountyManatee CountyMarion CountyMartin CountyMiami-Dade CountyMonroe CountyNassau CountyOkaloosa CountyOkeechobee CountyOrange CountyOsceola CountyPalm Beach CountyPasco CountyPinellas CountyPolk CountyPutnam CountySt. Johns CountySt. Lucie CountySanta Rosa CountySarasota CountySeminole CountySumter CountySuwannee CountyTaylor CountyUnion CountyVolusia CountyWakulla CountyWalton CountyWashington County,19317568,9447827,9869741,7430610,7689472,5397668,5610728,11008396,8309172,NoNoNoNoNoYesNoNoNoNoNoNoNoNoNoNoNoNoYesNoNoNoNoYesYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoYesNoNoNoNoYesYesNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,36.50%17.86%21.43%25.02%23.22%58.09%22.47%14.94%10.79%23.85%34.97%26.48%44.67%14.42%44.06%34.02%24.08%21.42%66.64%12.51%38.98%26.14%45.28%52.42%65.12%18.83%30.54%47.04%12.40%23.23%34.18%41.54%29.07%26.49%29.91%41.94%19.69%28.29%45.63%27.34%26.97%20.35%83.69%30.11%12.67%24.44%36.31%55.16%61.77%41.30%21.22%23.88%36.65%28.15%15.24%39.57%16.59%15.84%34.84%16.20%24.46%27.71%29.20%25.50%20.85%15.61%22.40%,3206350,20%13%11%19%11%28%14%6%3%10%7%18%14%9%30%23%12%14%55%6%13%19%34%7%14%6%10%17%6%9%27%36%15%10%9%31%10%19%39%9%13%6%19%6%7%10%9%22%13%18%5%11%16%17%6%20%6%5%12%9%13%21%23%11%15%6%16%,4484199,8.81%2.32%5.15%3.57%8.75%26.47%5.37%6.55%4.90%8.38%26.21%5.18%30.27%3.66%8.15%5.12%9.23%4.95%10.47%4.98%21.49%4.64%9.06%43.06%49.64%10.93%18.13%25.57%2.71%11.69%4.70%3.91%12.36%12.96%18.92%6.25%7.72%7.09%4.86%15.25%11.43%12.66%64.32%21.42%3.61%8.09%24.89%28.21%47.75%20.08%12.56%8.51%18.58%9.47%5.68%17.14%4.91%8.43%18.24%5.78%9.15%3.95%5.19%11.83%3.64%5.93%3.30%
